project_id,wbs_code,activity_id,activity_name,wbs_level,discipline,location,line_number,equipment_tag,planned_start,planned_finish,unit,planned_quantity,predecessor_ids
OIL-GGS-2026,PIP.001,PIP-L5-0001,Paint 18in Line 40-02 - Work Package,L5,Piping,,40,,2026-10-17,2026-10-26,,,
OIL-GGS-2026,PIP.001.01,PIP-L6-0002,Paint 18in Line 40-02 at Pipe Rack North,L6,Piping,Pipe Rack North,40,,2026-10-17,2026-10-19,m,44,PIP-L5-0001
OIL-GGS-2026,PIP.001.02,PIP-L6-0003,Paint 18in Line 40-02 at Rack C,L6,Piping,Rack C,40,,2026-10-20,2026-10-23,m,50,PIP-L6-0002
OIL-GGS-2026,INS.002,INS-L5-0001,Loop Check Loop P-272 - Work Package,L5,Instrumentation,,,P-272,2026-09-16,2026-09-29,,,
OIL-GGS-2026,INS.002.01,INS-L6-0002,Loop Check Loop P-272 - Part 1 at Control Room,L6,Instrumentation,Control Room,,P-272,2026-09-16,2026-09-17,loop,6,INS-L5-0001
OIL-GGS-2026,INS.002.02,INS-L6-0003,Loop Check Loop P-272 - Part 2 at Control Room,L6,Instrumentation,Control Room,,P-272,2026-09-18,2026-09-21,loop,1,INS-L6-0002
OIL-GGS-2026,INS.002.03,INS-L6-0004,Loop Check Loop P-272 - Part 3 at Control Room,L6,Instrumentation,Control Room,,P-272,2026-09-22,2026-09-23,loop,2,INS-L6-0003
OIL-GGS-2026,CIV.003,CIV-L5-0001,Shutter Foundation F-164 - Work Package,L5,Civil,,,F-164,2026-11-14,2026-11-28,,,
OIL-GGS-2026,CIV.003.01,CIV-L6-0002,Shutter Foundation F-164 - Part 1 at Area 20,L6,Civil,Area 20,,F-164,2026-11-14,2026-11-18,m2,86,CIV-L5-0001
OIL-GGS-2026,CIV.003.02,CIV-L6-0003,Shutter Foundation F-164 - Part 2 at Area 20,L6,Civil,Area 20,,F-164,2026-11-19,2026-11-21,m2,53,CIV-L6-0002
OIL-GGS-2026,EQP.004,EQP-L5-0001,Align Pump PT-259 - Work Package,L5,Equipment,,,PT-259,2026-11-18,2026-11-25,,,
OIL-GGS-2026,EQP.004.01,EQP-L6-0002,Align Pump PT-259 at Tank Farm,L6,Equipment,Tank Farm,,PT-259,2026-11-18,2026-11-23,unit,1,EQP-L5-0001
OIL-GGS-2026,EQP.004.02,EQP-L6-0003,Align Pump PT-259 at Area 10,L6,Equipment,Area 10,,PT-259,2026-11-24,2026-11-24,unit,2,EQP-L6-0002
OIL-GGS-2026,CIV.005,CIV-L5-0004,Cast Concrete Foundation F-462 - Work Package,L5,Civil,,,F-462,2026-09-11,2026-09-19,,,
OIL-GGS-2026,CIV.005.01,CIV-L6-0005,Cast Concrete Foundation F-462 at Substation Pad,L6,Civil,Substation Pad,,F-462,2026-09-11,2026-09-14,m3,63,CIV-L5-0004
OIL-GGS-2026,INS.006,INS-L5-0005,Loop Check Loop PT-162 - Work Package,L5,Instrumentation,,,PT-162,2026-12-22,2027-01-06,,,
OIL-GGS-2026,INS.006.01,INS-L6-0006,Loop Check Loop PT-162 at Rack B,L6,Instrumentation,Rack B,,PT-162,2026-12-22,2026-12-22,loop,4,INS-L5-0005
OIL-GGS-2026,INS.006.02,INS-L6-0007,Loop Check Loop PT-162 at Control Room,L6,Instrumentation,Control Room,,PT-162,2026-12-23,2026-12-25,loop,3,INS-L6-0006
OIL-GGS-2026,INS.006.03,INS-L6-0008,Loop Check Loop PT-162 at Wellhead Pad 2,L6,Instrumentation,Wellhead Pad 2,,PT-162,2026-12-26,2026-12-28,loop,4,INS-L6-0007
OIL-GGS-2026,CIV.007,CIV-L5-0006,Shutter Foundation F-386 - Work Package,L5,Civil,,,F-386,2026-11-07,2026-11-27,,,
OIL-GGS-2026,CIV.007.01,CIV-L6-0007,Shutter Foundation F-386 at Tank Farm,L6,Civil,Tank Farm,,F-386,2026-11-07,2026-11-10,m2,70,CIV-L5-0006
OIL-GGS-2026,CIV.007.02,CIV-L6-0008,Shutter Foundation F-386 at Substation Pad,L6,Civil,Substation Pad,,F-386,2026-11-11,2026-11-11,m2,38,CIV-L6-0007
OIL-GGS-2026,EQP.008,EQP-L5-0004,Align Pump LT-176 - Work Package,L5,Equipment,,,LT-176,2026-12-28,2027-01-11,,,
OIL-GGS-2026,EQP.008.01,EQP-L6-0005,Align Pump LT-176 at Unit 100,L6,Equipment,Unit 100,,LT-176,2026-12-28,2026-12-31,unit,2,EQP-L5-0004
OIL-GGS-2026,PIP.009,PIP-L5-0004,Hydrotest Line 40-08 - Work Package,L5,Piping,,40,,2026-12-24,2027-01-11,,,
OIL-GGS-2026,PIP.009.01,PIP-L6-0005,Hydrotest Line 40-08 at Pipe Rack North,L6,Piping,Pipe Rack North,40,,2026-12-24,2026-12-28,line,1,PIP-L5-0004
